type,monkey,RW,cond,rt,err,pred
D1ERR-RT,Monkey KN,8,10,437.2716763,0.044198895,0.060923028
D1ERR-RT,Monkey KN,8,10,420.0754717,0.027522936,0.053532021
D1ERR-RT,Monkey KN,8,10,425.9555556,0.02173913,0.056059308
D1ERR-RT,Monkey KN,8,10,393.0108696,0.016042781,0.041899533
D1ERR-RT,Monkey KN,8,10,414.1395349,0,0.050980729
D1ERR-RT,Monkey KN,8,30,457.5048544,0.037383178,0.069619339
D1ERR-RT,Monkey KN,8,30,486.6065574,0.075757576,0.082127382
D1ERR-RT,Monkey KN,8,30,434.0887097,0.008,0.059554974
D1ERR-RT,Monkey KN,8,30,487.4603175,0.059701493,0.082494332
D1ERR-RT,Monkey KN,8,30,414.2012195,0.040935673,0.051007241
D1ERR-RT,Monkey KN,8,50,465.0857143,0.048913043,0.072877627
D1ERR-RT,Monkey KN,8,50,444.2979798,0.005025126,0.063942965
D1ERR-RT,Monkey KN,8,50,449.7837838,0.034782609,0.066300788
D1ERR-RT,Monkey KN,8,50,391.06639,0,0.041063787
D1ERR-RT,Monkey KN,8,50,457.8645833,0.058823529,0.069773952
D1ERR-RT,Monkey KN,8,100,426.2105263,0.103773585,0.056168895
D1ERR-RT,Monkey KN,8,100,437.2857143,0.042105263,0.060929061
D1ERR-RT,Monkey KN,8,100,431.2670455,0.022222222,0.05834221
D1ERR-RT,Monkey KN,8,100,448.2376238,0.047169811,0.065636241
D1ERR-RT,Monkey KN,8,Control,410.1896552,0.025210084,0.049283053
D1ERR-RT,Monkey KN,8,Control,420.2857143,0.024590164,0.053622384
D1ERR-RT,Monkey KN,8,Control,402.7869822,0.01744186,0.04610135
D1ERR-RT,Monkey KN,8,Control,398.0272109,0.032894737,0.044055579
D1ERR-RT,Monkey KN,8,Control,410.12,0.060150376,0.049253114
D1ERR-RT,Monkey KN,8,Control,400.2426036,0.023121387,0.045007765
D1ERR-RT,Monkey KN,8,Control,402.5323741,0.047945205,0.045991919
D1ERR-RT,Monkey KN,8,Control,430.3165468,0.060810811,0.057933681
D1ERR-RT,Monkey KN,8,Control,418.92,0.019607843,0.053035394
D1ERR-RT,Monkey KN,8,Control,412.8421053,0.014150943,0.050423088
D1ERR-RT,Monkey KN,8,Control,367.1709677,0.003215434,0.030793426
D1ERR-RT,Monkey KN,8,Control,464.4744526,0.021428571,0.072614904
D1ERR-RT,Monkey KN,8,Control,414.1970443,0.060185185,0.051005447
D1ERR-RT,Monkey KN,8,Control,430.4526749,0.012195122,0.05799219
D1ERR-RT,Monkey KN,8,Control,461.8321168,0.080536913,0.071479216
D1ERR-RT,Monkey KN,8,Control,434.9251337,0.026041667,0.059914473
D1ERR-RT,Monkey KN,8,Control,432.1935484,0.021052632,0.058740425
D1ERR-RT,Monkey KN,8,Control,406.1982379,0.017316017,0.047567523
D1ERR-RT,Monkey KN,8,Control,427.0699301,0.052980132,0.056538271
D1ERR-RT,Monkey KN,8,Control,417.6,0.017857143,0.052468052
D1ERR-RT,Monkey KN,8,Control,392.3157895,0.022857143,0.041600784
D1ERR-RT,Monkey KN,8,Control,397.6875,0.033557047,0.04390957
D1ERR-RT,Monkey ST,1,10,405.9727891,0.078369906,0.047470624
D1ERR-RT,Monkey ST,1,10,387.0984615,0.044117647,0.039358353
D1ERR-RT,Monkey ST,1,10,430.3284672,0.089700997,0.057938805
D1ERR-RT,Monkey ST,1,30,419.0104167,0.076923077,0.053074256
D1ERR-RT,Monkey ST,1,30,450.4904762,0.128630705,0.066604527
D1ERR-RT,Monkey ST,1,30,457.0843373,0.104316547,0.069438599
D1ERR-RT,Monkey ST,1,30,447.2773109,0.07751938,0.065223494
D1ERR-RT,Monkey ST,1,50,511.2155477,0.087096774,0.092704437
D1ERR-RT,Monkey ST,1,50,468.4202899,0.151639344,0.074310842
D1ERR-RT,Monkey ST,1,50,443.7832168,0.125382263,0.063721717
D1ERR-RT,Monkey ST,1,50,488.9349593,0.105454545,0.08312814
D1ERR-RT,Monkey ST,1,100,512.6540284,0.166007905,0.093322703
D1ERR-RT,Monkey ST,1,100,489.8209607,0.037815126,0.083508947
D1ERR-RT,Monkey ST,1,100,473.1452991,0.071428571,0.076341673
D1ERR-RT,Monkey ST,1,100,497.75,0.087452471,0.086916884
D1ERR-RT,Monkey ST,1,Control,408.6474164,0.043604651,0.048620191
D1ERR-RT,Monkey ST,1,Control,390.3939394,0.05982906,0.040774765
D1ERR-RT,Monkey ST,1,Control,375.361516,0.028328612,0.034313761
D1ERR-RT,Monkey ST,1,Control,371.7109635,0.093373494,0.032744737
D1ERR-RT,Monkey ST,1,Control,353.5490196,0.035135135,0.024938652
D1ERR-RT,Monkey ST,1,Control,360.5825545,0.047477745,0.027961697
D1ERR-RT,Monkey ST,1,Control,362.5337621,0.04601227,0.028800335
D1ERR-RT,Monkey ST,1,Control,373.6315789,0.036619718,0.033570226
D1ERR-RT,Monkey ST,1,Control,384.6294821,0.146258503,0.038297175
D1ERR-RT,Monkey ST,1,Control,390.5874587,0.09009009,0.04085794
D1ERR-RT,Monkey ST,1,Control,365.6363636,0.055401662,0.030133847
D1ERR-RT,Monkey ST,1,Control,376.5680934,0.065454545,0.034832353
D1ERR-RT,Monkey ST,1,Control,375.9432177,0.042296073,0.034563779
D1ERR-RT,Monkey ST,1,Control,383.6956522,0.071428571,0.03789581
D1ERR-RT,Monkey ST,1,Control,396.5967078,0.061776062,0.043440742
D1ERR-RT,Monkey ST,1,Control,385.8241042,0.037617555,0.038810629
D1ERR-RT,Monkey ST,1,Control,413.0331126,0.03514377,0.050505183
D1ERR-RT,Monkey ST,1,Control,371.6835017,0.088957055,0.032732934
D1ERR-RT,Monkey ST,1,Control,388.1661017,0.095092025,0.03981723
D1ERR-RT,Monkey ST,1,Control,364.7673716,0.04610951,0.02976035
D1ERR-RT,Monkey ST,1,Control,373.0664452,0.050473186,0.033327329
D1ERR-RT,Monkey ST,1,Control,389.1650485,0.046296296,0.040246582
D1ERR-RT,Monkey ST,1,Control,398.9936709,0.05952381,0.044470968
D1ERR-RT,Monkey ST,1,Control,367.4096386,0.026392962,0.030896008
D1ERR-RT,Monkey ST,1,Control,362,0.065868263,0.028570921
D1ERR-RT,Monkey ST,1,Control,369.6772334,0.049315068,0.031870631
D1ERR-RT,Monkey ST,1,Control,379.6539683,0.045454545,0.036158676
D1ERR-RT,Monkey ST,1,Control,397.4012346,0.055393586,0.043786532
D1ERR-RT,Monkey ST,1,Control,391.3111888,0.046666667,0.041169002
D1ERR-RT,Monkey ST,1,Control,421.3429603,0.082781457,0.054076793
D1ERR-RT,Monkey ST,1,Control,415.8355705,0.120943953,0.051709692
D1ERR-RT,Monkey ST,2,10,367.7534247,0.039473684,0.031043769
D1ERR-RT,Monkey ST,2,10,366.5880399,0.022727273,0.030542881
D1ERR-RT,Monkey ST,2,10,374.1115108,0.038062284,0.033776503
D1ERR-RT,Monkey ST,2,30,388.8087248,0.038709677,0.040093432
D1ERR-RT,Monkey ST,2,30,427.6937799,0.05,0.056806404
D1ERR-RT,Monkey ST,2,30,419.712,0.034749035,0.053375799
D1ERR-RT,Monkey ST,2,30,403.0169492,0.052208835,0.046200191
D1ERR-RT,Monkey ST,2,50,455.4539007,0.010526316,0.06873783
D1ERR-RT,Monkey ST,2,50,420.8768473,0.033333333,0.053876456
D1ERR-RT,Monkey ST,2,50,397.4155405,0.01986755,0.04379268
D1ERR-RT,Monkey ST,2,50,434.8536585,0.061068702,0.059883753
D1ERR-RT,Monkey ST,2,100,461.8952381,0.066666667,0.071506346
D1ERR-RT,Monkey ST,2,100,448.5605381,0.047008547,0.065775031
D1ERR-RT,Monkey ST,2,100,447.4675325,0.045454545,0.065305253
