"","MK","S","cond","RC","ctype","ER","RT"
"225","stan","1101","Both","1","w",0.0701754385964912,538.38679245283
"226","stan","1073","Both","2","w",0.127450980392157,467.943820224719
"227","stan","1088","Both","2","w",0.107692307692308,483.965517241379
"228","stan","1101","Both","2","w",0.109243697478992,559.858490566038
"229","mp7","178","CON","0","d",0.0510948905109489,415.884615384615
"230","mp7","179","CON","0","d",0.0291970802919708,384.872180451128
"231","mp7","180","CON","0","d",0.0381679389312977,412.388888888889
"232","mp7","181","CON","0","d",0.00746268656716418,417.954887218045
"233","mp7","182","CON","0","d",0.0373134328358209,407.162790697674
"234","mp7","241","CON","0","d",0.0155038759689922,424.763779527559
"235","mp7","242","CON","0","d",0.0151515151515152,423.623076923077
"236","mp7","243","CON","0","d",0.0223880597014925,424.206106870229
"237","mp7","244","CON","0","d",0.0454545454545455,419.142857142857
"238","mp7","245","CON","0","d",0,385.12030075188
"239","mp7","178","CON","1","d",0.103448275862069,360.538461538462
"240","mp7","179","CON","1","d",0.137254901960784,364.121212121212
"241","mp7","180","CON","1","d",0.106382978723404,384.365079365079
"242","mp7","181","CON","1","d",0.036231884057971,394.105263157895
"243","mp7","182","CON","1","d",0.037593984962406,399.9609375
"244","mp7","241","CON","1","d",0.141891891891892,478.992125984252
"245","mp7","242","CON","1","d",0.0514705882352941,478.426356589147
"246","mp7","243","CON","1","d",0.0503597122302158,460.916666666667
"247","mp7","244","CON","1","d",0.0307692307692308,448.007936507937
"248","mp7","245","CON","1","d",0.0763888888888889,461.774436090226
"249","mp7","178","CON","2","d",0.186335403726708,413.587786259542
"250","mp7","179","CON","2","d",0.125,449.736842105263
"251","mp7","180","CON","2","d",0.131944444444444,424.848
"252","mp7","181","CON","2","d",0.118421052631579,456.201492537313
"253","mp7","182","CON","2","d",0.122448979591837,470.031007751938
"254","mp7","241","CON","2","d",0.20253164556962,537.349206349206
"255","mp7","242","CON","2","d",0.121621621621622,466.161538461538
"256","mp7","243","CON","2","d",0.137254901960784,490.386363636364
"257","mp7","244","CON","2","d",0.136986301369863,494.02380952381
"258","mp7","245","CON","2","d",0.0763888888888889,467.684210526316
"259","mp7","178","CON","0","w",0.0151515151515152,385.953846153846
"260","mp7","179","CON","0","w",0.0148148148148148,366.503759398496
"261","mp7","180","CON","0","w",0.00793650793650794,368.752
"262","mp7","181","CON","0","w",0.0220588235294118,396.586466165414
"263","mp7","182","CON","0","w",0.0227272727272727,362.744186046512
"264","mp7","241","CON","0","w",0.0378787878787879,403.692913385827
"265","mp7","242","CON","0","w",0.0714285714285714,393.015384615385
"266","mp7","243","CON","0","w",0.0294117647058824,377.522727272727
"267","mp7","244","CON","0","w",0.0381679389312977,400.428571428571
"268","mp7","245","CON","0","w",0.0633802816901408,374.954887218045
"269","mp7","178","CON","1","w",0.0225563909774436,330.169230769231
"270","mp7","179","CON","1","w",0.0222222222222222,364.242424242424
"271","mp7","180","CON","1","w",0.0601503759398496,348.232
"272","mp7","181","CON","1","w",0.0148148148148148,377.962406015038
"273","mp7","182","CON","1","w",0.0227272727272727,349.527131782946
"274","mp7","241","CON","1","w",0.0928571428571429,363.188976377953
"275","mp7","242","CON","1","w",0.037037037037037,373.892307692308
"276","mp7","243","CON","1","w",0.0075187969924812,379.424242424242
"277","mp7","244","CON","1","w",0.0735294117647059,390
"278","mp7","245","CON","1","w",0.0220588235294118,387.593984962406
"279","mp7","178","CON","2","w",0.0902777777777778,375.259541984733
"280","mp7","179","CON","2","w",0.0699300699300699,376.751879699248
"281","mp7","180","CON","2","w",0.0875912408759124,382.136
"282","mp7","181","CON","2","w",0.136363636363636,409.90977443609
"283","mp7","182","CON","2","w",0.122448979591837,385.558139534884
"284","mp7","241","CON","2","w",0.0378787878787879,375.48031496063
"285","mp7","242","CON","2","w",0.0444444444444444,399.68992248062
"286","mp7","243","CON","2","w",0.0294117647058824,392.212121212121
"287","mp7","244","CON","2","w",0.0522388059701493,389.456692913386
"288","mp7","245","CON","2","w",0.0294117647058824,390.772727272727
"289","mp7","77","D1","0","d",0.07,442.677419354839
"290","mp7","83","D1","0","d",0.154761904761905,453.985915492958
"291","mp7","95","D1","0","d",0.0816326530612245,468.877777777778
"292","mp7","101","D1","0","d",0.045045045045045,441.537735849057
"293","mp7","105","D1","0","d",0.0917431192660551,484.616161616162
"294","mp7","77","D1","1","d",0.185840707964602,472.869565217391
"295","mp7","83","D1","1","d",0.181818181818182,530.972222222222
"296","mp7","95","D1","1","d",0.224137931034483,541.222222222222
"297","mp7","101","D1","1","d",0.198473282442748,604.657142857143
"298","mp7","105","D1","1","d",0.263157894736842,596.612244897959
"299","mp7","77","D1","2","d",0.205128205128205,519.408602150538
"300","mp7","83","D1","2","d",0.166666666666667,560.142857142857
"301","mp7","95","D1","2","d",0.318181818181818,562.911111111111
"302","mp7","101","D1","2","d",0.459183673469388,584.254716981132
"303","mp7","105","D1","2","d",0.266666666666667,568.313131313131
"304","mp7","77","D1","0","w",0.114285714285714,446.569892473118
"305","mp7","83","D1","0","w",0.0140845070422535,417.814285714286
"306","mp7","95","D1","0","w",0.032258064516129,399.244444444444
"307","mp7","101","D1","0","w",0.0275229357798165,433.518867924528
"308","mp7","105","D1","0","w",0.0934579439252336,461.453608247423
"309","mp7","77","D1","1","w",0.08,378
"310","mp7","83","D1","1","w",0.0410958904109589,391.371428571429
"311","mp7","95","D1","1","w",0.0808080808080808,438.340659340659
"312","mp7","101","D1","1","w",0.116666666666667,473.830188679245
"313","mp7","105","D1","1","w",0.1,435.131313131313
"314","mp7","77","D1","2","w",0.123809523809524,418.880434782609
"315","mp7","83","D1","2","w",0.26530612244898,440.388888888889
"316","mp7","95","D1","2","w",0.12621359223301,467.233333333333
"317","mp7","101","D1","2","w",0.138211382113821,498.566037735849
"318","mp7","105","D1","2","w",0.0917431192660551,505.333333333333
"319","mp7","39","D2","0","d",0.205298013245033,440.191666666667
"320","mp7","53","D2","0","d",0.0634920634920635,385.889830508475
"321","mp7","130","D2","0","d",0.0677966101694915,402.481818181818
"322","mp7","39","D2","1","d",0.245283018867925,496.433333333333
"323","mp7","53","D2","1","d",0.15,411.605042016807
"324","mp7","130","D2","1","d",0.0840336134453782,481.862385321101
"325","mp7","39","D2","2","d",0.205298013245033,450.15
"326","mp7","53","D2","2","d",0.220779220779221,411.241666666667
"327","mp7","130","D2","2","d",0.246575342465753,481.963636363636
"328","mp7","39","D2","0","w",0.142857142857143,421.708333333333
"329","mp7","53","D2","0","w",0.0775193798449612,352.478991596639
"330","mp7","130","D2","0","w",0.0677966101694915,366.781818181818
"331","mp7","39","D2","1","w",0.156028368794326,354.512605042017
"332","mp7","53","D2","1","w",0.0775193798449612,335.747899159664
"333","mp7","130","D2","1","w",0.0434782608695652,351.145454545455
"334","mp7","39","D2","2","w",0.230769230769231,451.916666666667
"335","mp7","53","D2","2","w",0.287425149700599,373.596638655462
"336","mp7","130","D2","2","w",0.198529411764706,378.908256880734
"337","mp7","200","Both","0","d",0.032967032967033,446.897727272727
"338","mp7","215","Both","0","d",0.0458015267175573,435.608
"339","mp7","228","Both","0","d",0.0353982300884956,459.155963302752
