"","monkey","SessionNo","condition","CU","CostType","Refusal Rate","RT"
"147","stan","961","D1-CON","0","d",0.00793650793650794,340.496
"148","stan","964","D1-CON","0","d",0.00763358778625954,359.038461538462
"149","stan","967","D1-CON","0","d",0.00763358778625954,341.353846153846
"150","stan","970","D1-CON","0","d",0.00735294117647059,333.6
"151","stan","971","D1-CON","0","d",0.00769230769230769,353.720930232558
"152","stan","976","D1-CON","0","d",0,343.102362204724
"153","stan","977","D1-CON","0","d",0.0145985401459854,340.948148148148
"154","stan","981","D1-CON","0","d",0.0151515151515152,333.146153846154
"155","stan","982","D1-CON","0","d",0.00719424460431655,343.753623188406
"156","stan","983","D1-CON","0","d",0.0287769784172662,336.933333333333
"157","stan","988","D1-CON","0","d",0.0149253731343284,349.454545454545
"158","stan","989","D1-CON","0","d",0.00735294117647059,367.992592592593
"159","stan","992","D1-CON","0","d",0,354.473684210526
"160","stan","957","D1-CON","1","d",0.0652173913043478,413.023255813953
"161","stan","960","D1-CON","1","d",0.0656934306569343,379.8203125
"162","stan","961","D1-CON","1","d",0.0538461538461538,393.390243902439
"163","stan","964","D1-CON","1","d",0.0514705882352941,417.356589147287
"164","stan","967","D1-CON","1","d",0.0507246376811594,419.282442748092
"165","stan","970","D1-CON","1","d",0.0289855072463768,399.776119402985
"166","stan","971","D1-CON","1","d",0.0719424460431655,453.15503875969
"167","stan","976","D1-CON","1","d",0.0863309352517986,406.220472440945
"168","stan","977","D1-CON","1","d",0.0425531914893617,422.059259259259
"169","stan","981","D1-CON","1","d",0.0915492957746479,391.356589147287
"170","stan","982","D1-CON","1","d",0.0547945205479452,382.826086956522
"171","stan","983","D1-CON","1","d",0.0357142857142857,409.822222222222
"172","stan","988","D1-CON","1","d",0.0769230769230769,384.977272727273
"173","stan","989","D1-CON","1","d",0.0215827338129496,398.764705882353
"174","stan","992","D1-CON","1","d",0.0638297872340425,397.606060606061
"175","stan","957","D1-CON","2","d",0.126666666666667,401.091603053435
"176","stan","960","D1-CON","2","d",0.116438356164384,380.100775193798
"177","stan","961","D1-CON","2","d",0.107913669064748,413.620967741935
"178","stan","964","D1-CON","2","d",0.0367647058823529,428.679389312977
"179","stan","967","D1-CON","2","d",0.0972222222222222,423.746153846154
"180","stan","970","D1-CON","2","d",0.0492957746478873,397.718518518519
"181","stan","971","D1-CON","2","d",0.0909090909090909,459.561538461538
"182","stan","976","D1-CON","2","d",0.104895104895105,411.921875
"183","stan","977","D1-CON","2","d",0.0689655172413793,413.940740740741
"184","stan","981","D1-CON","2","d",0.0579710144927536,386.861538461538
"185","stan","982","D1-CON","2","d",0.0482758620689655,401.68115942029
"186","stan","983","D1-CON","2","d",0.0072992700729927,396.073529411765
"187","stan","988","D1-CON","2","d",0.0437956204379562,400.81679389313
"188","stan","989","D1-CON","2","d",0.0559440559440559,424.392592592593
"189","stan","992","D1-CON","2","d",0.102040816326531,394.227272727273
"190","stan","957","D1-CON","0","w",0.0151515151515152,349.476923076923
"191","stan","960","D1-CON","0","w",0.00775193798449612,332.8828125
"192","stan","961","D1-CON","0","w",0,341.723577235772
"193","stan","964","D1-CON","0","w",0,355.198473282443
"194","stan","967","D1-CON","0","w",0.00763358778625954,362.130769230769
"195","stan","970","D1-CON","0","w",0,338.955555555556
"196","stan","971","D1-CON","0","w",0.00763358778625954,364.576923076923
"197","stan","976","D1-CON","0","w",0.00775193798449612,349.875
"198","stan","977","D1-CON","0","w",0,348.259259259259
"199","stan","981","D1-CON","0","w",0,346.423076923077
"200","stan","982","D1-CON","0","w",0,354.847826086957
"201","stan","983","D1-CON","0","w",0,348.948148148148
"202","stan","988","D1-CON","0","w",0.0075187969924812,347.787878787879
"203","stan","989","D1-CON","0","w",0.0147058823529412,373.723880597015
"204","stan","992","D1-CON","0","w",0.00746268656716418,365.518796992481
"205","stan","957","D1-CON","1","w",0.0588235294117647,429.421875
"206","stan","960","D1-CON","1","w",0.0518518518518519,391.375
"207","stan","961","D1-CON","1","w",0.0458015267175573,413.8
"208","stan","964","D1-CON","1","w",0.0507246376811594,384.709923664122
"209","stan","967","D1-CON","1","w",0,385.206106870229
"210","stan","970","D1-CON","1","w",0.0559440559440559,374.6
"211","stan","971","D1-CON","1","w",0.0851063829787234,416.093023255814
"212","stan","976","D1-CON","1","w",0.079136690647482,398.6953125
"213","stan","977","D1-CON","1","w",0.0428571428571429,405.007462686567
"214","stan","981","D1-CON","1","w",0.0780141843971631,374.492307692308
"215","stan","982","D1-CON","1","w",0.0738255033557047,368.123188405797
"216","stan","983","D1-CON","1","w",0.0354609929078014,391.080882352941
"217","stan","988","D1-CON","1","w",0.0222222222222222,392.469696969697
"218","stan","989","D1-CON","1","w",0.0215827338129496,401.191176470588
"219","stan","992","D1-CON","1","w",0.0359712230215827,400.589552238806
"220","stan","957","D1-CON","2","w",0.0719424460431655,445.248062015504
"221","stan","960","D1-CON","2","w",0.0785714285714286,397.875968992248
"222","stan","961","D1-CON","2","w",0.03125,422.290322580645
"223","stan","964","D1-CON","2","w",0.0709219858156028,406.839694656489
"224","stan","967","D1-CON","2","w",0.00757575757575758,407.038167938931
