"","S","mk","RW","cond","err","rt"
"64","1120","kenny","3","saline",0.0232558139534884,415.047619047619
"65","1121","kenny","3","saline",0.05,388.368421052632
"66","1122","kenny","3","saline",0.0700636942675159,390.075342465753
"104","1201","kenny","4","0.01",0.0441988950276243,437.271676300578
"105","1202","kenny","4","0.01",0.0275229357798165,420.075471698113
"106","1203","kenny","4","0.01",0.0217391304347826,425.955555555556
"107","1204","kenny","4","0.01",0.0160427807486631,393.010869565217
"108","1205","kenny","4","0.01",0,414.139534883721
"124","1301","kenny","4","0.03",0.0373831775700935,457.504854368932
"125","1302","kenny","4","0.03",0.0757575757575758,486.606557377049
"126","1303","kenny","4","0.03",0.008,434.088709677419
"127","1304","kenny","4","0.03",0.0597014925373134,487.460317460317
"128","1305","kenny","4","0.03",0.0409356725146199,414.201219512195
"144","1401","kenny","4","0.05",0.0489130434782609,465.085714285714
"145","1402","kenny","4","0.05",0.0050251256281407,444.29797979798
"146","1403","kenny","4","0.05",0.0347826086956522,449.783783783784
"147","1404","kenny","4","0.05",0,391.066390041494
"148","1405","kenny","4","0.05",0.0588235294117647,457.864583333333
"161","1501","kenny","4","0.1",0.10377358490566,426.210526315789
"162","1502","kenny","4","0.1",0.0421052631578947,437.285714285714
"163","1503","kenny","4","0.1",0.0222222222222222,431.267045454545
"164","1504","kenny","4","0.1",0.0471698113207547,448.237623762376
"67","1101","kenny","4","saline",0.0252100840336134,410.189655172414
"68","1102","kenny","4","saline",0.0245901639344262,420.285714285714
"69","1103","kenny","4","saline",0.0174418604651163,402.786982248521
"70","1104","kenny","4","saline",0.0328947368421053,398.027210884354
"71","1105","kenny","4","saline",0.0601503759398496,410.12
"72","1106","kenny","4","saline",0.023121387283237,400.242603550296
"73","1107","kenny","4","saline",0.0479452054794521,402.532374100719
"74","1108","kenny","4","saline",0.0608108108108108,430.31654676259
"75","1109","kenny","4","saline",0.0196078431372549,418.92
"76","1110","kenny","4","saline",0.0141509433962264,412.842105263158
"77","1111","kenny","4","saline",0.00321543408360129,367.170967741935
"78","1112","kenny","4","saline",0.0214285714285714,464.474452554745
"79","1113","kenny","4","saline",0.0601851851851852,414.197044334975
"80","1114","kenny","4","saline",0.0121951219512195,430.452674897119
"81","1115","kenny","4","saline",0.0805369127516778,461.832116788321
"82","1116","kenny","4","saline",0.0260416666666667,434.92513368984
"83","1117","kenny","4","saline",0.0210526315789474,432.193548387097
"84","1118","kenny","4","saline",0.0173160173160173,406.198237885463
"85","1119","kenny","4","saline",0.0529801324503311,427.06993006993
"86","1120","kenny","4","saline",0.0178571428571429,417.6
"87","1121","kenny","4","saline",0.0228571428571429,392.315789473684
"88","1122","kenny","4","saline",0.0335570469798658,397.6875
"289","2201","stan","1","0.01",0.0783699059561129,405.972789115646
"290","2202","stan","1","0.01",0.0441176470588235,387.098461538462
"291","2203","stan","1","0.01",0.0897009966777409,430.328467153285
"301","2301","stan","1","0.03",0.0769230769230769,419.010416666667
"302","2302","stan","1","0.03",0.128630705394191,450.490476190476
"303","2303","stan","1","0.03",0.10431654676259,457.084337349398
"304","2304","stan","1","0.03",0.0775193798449612,447.27731092437
"317","2401","stan","1","0.05",0.0870967741935484,511.21554770318
"318","2402","stan","1","0.05",0.151639344262295,468.420289855072
"319","2403","stan","1","0.05",0.125382262996942,443.783216783217
"320","2404","stan","1","0.05",0.105454545454545,488.934959349593
"333","2501","stan","1","0.1",0.16600790513834,512.654028436019
"334","2502","stan","1","0.1",0.0378151260504202,489.82096069869
"335","2503","stan","1","0.1",0.0714285714285714,473.145299145299
"336","2504","stan","1","0.1",0.0874524714828897,497.75
"165","2101","stan","1","saline",0.0436046511627907,408.647416413374
"166","2102","stan","1","saline",0.0598290598290598,390.393939393939
"167","2103","stan","1","saline",0.028328611898017,375.361516034985
"168","2104","stan","1","saline",0.0933734939759036,371.71096345515
"169","2105","stan","1","saline",0.0351351351351351,353.549019607843
