"","SessionNo","monkey","reward size","condition","RefusalRate","RT"
"230","2502","stan","1","D3",0.152046783625731,415.596551724138
"231","2503","stan","1","D3",0.192468619246862,499.528497409326
"232","2504","stan","1","D3",0.0566037735849057,404.48
"245","2601","stan","1","D4",0.175384615384615,449.630597014925
"246","2602","stan","1","D4",0.0676923076923077,403.369636963696
"247","2603","stan","1","D4",0.0811688311688312,431.985865724382
"248","2604","stan","1","D4",0.0712074303405573,389.97
"261","2701","stan","1","D7",0.06875,422.58389261745
"262","2702","stan","1","D7",0.0727272727272727,410.372549019608
"263","2703","stan","1","D7",0.0821114369501466,408.194888178914
"153","2101","stan","1","PRE",0.08,404.141304347826
"154","2102","stan","1","PRE",0.0395136778115502,365.367088607595
"155","2103","stan","1","PRE",0.0514469453376206,410.596610169491
"156","2104","stan","1","PRE",0.0676923076923077,368.712871287129
"157","2105","stan","1","PRE",0.0588235294117647,404.947916666667
"158","2106","stan","1","PRE",0.0781893004115226,406.767857142857
"159","2107","stan","1","PRE",0.051948051948052,386.236301369863
"160","2108","stan","1","PRE",0.0509554140127389,378.627516778523
"161","2109","stan","1","PRE",0.103030303030303,412.236486486487
"162","2110","stan","1","PRE",0.0714285714285714,431.855769230769
"195","2201","stan","2","D0",0.121076233183857,404.647959183673
"196","2202","stan","2","D0",0.0557377049180328,391.913194444444
"204","2301","stan","2","D1",0.087719298245614,474.742307692308
"205","2302","stan","2","D1",0.0671641791044776,419.74
"206","2303","stan","2","D1",0.0428571428571429,397.074626865672
"217","2401","stan","2","D2",0.11854103343465,406.593103448276
"218","2402","stan","2","D2",0.0620915032679739,382.393728222997
"219","2403","stan","2","D2",0.0363636363636364,342.007547169811
"220","2404","stan","2","D2",0.0195439739413681,403.355481727575
"233","2501","stan","2","D3",0.053125,378.957095709571
"234","2502","stan","2","D3",0.0503355704697987,378.840989399293
"235","2503","stan","2","D3",0.083743842364532,446.284946236559
"236","2504","stan","2","D3",0.0345911949685535,384.071661237785
"249","2601","stan","2","D4",0.0622837370242214,430.077490774908
"250","2602","stan","2","D4",0.0604229607250755,367.75884244373
"251","2603","stan","2","D4",0.040133779264214,400.700348432056
"252","2604","stan","2","D4",0.0194805194805195,363.619205298013
"264","2701","stan","2","D7",0.0448717948717949,383.436241610738
"265","2702","stan","2","D7",0.0364238410596026,374.247422680412
"266","2703","stan","2","D7",0.0363636363636364,380.481132075472
"163","2101","stan","2","PRE",0.0530035335689046,367.582089552239
"164","2102","stan","2","PRE",0.0123839009287926,341.225705329154
"165","2103","stan","2","PRE",0.0457516339869281,378.934931506849
"166","2104","stan","2","PRE",0.0315457413249211,348.185667752443
"167","2105","stan","2","PRE",0.0337837837837838,373.188811188811
"168","2106","stan","2","PRE",0.0464135021097046,381.446902654867
"169","2107","stan","2","PRE",0.0168350168350168,362.164383561644
"170","2108","stan","2","PRE",0.0223642172523962,360.859477124183
"171","2109","stan","2","PRE",0.0456026058631922,376.477815699659
"172","2110","stan","2","PRE",0.0512048192771084,397.949206349206
"197","2201","stan","3","D0",0.0234741784037559,356.475961538462
"198","2202","stan","3","D0",0.00719424460431655,358.235507246377
"207","2301","stan","3","D1",0.0446096654275093,405.062256809339
"208","2302","stan","3","D1",0.0272373540856031,375.956
"209","2303","stan","3","D1",0.0324909747292419,363.324626865672
"221","2401","stan","3","D2",0.0307167235494881,375.404929577465
"222","2402","stan","3","D2",0.0261437908496732,354.231543624161
"223","2403","stan","3","D2",0.0144404332129964,328.765567765568
"224","2404","stan","3","D2",0.0228013029315961,375.76
"237","2501","stan","3","D3",0.00636942675159236,368.605769230769
"238","2502","stan","3","D3",0.0228758169934641,340.943143812709
"239","2503","stan","3","D3",0.0339805825242718,398.236180904523
"240","2504","stan","3","D3",0.0295081967213115,355.155405405405
"253","2601","stan","3","D4",0.0487804878048781,378.454212454212
"254","2602","stan","3","D4",0.0319488817891374,347.207920792079
"255","2603","stan","3","D4",0.00719424460431655,377.333333333333
"256","2604","stan","3","D4",0.0102040816326531,347.302405498282
"267","2701","stan","3","D7",0.0136054421768707,363.968965517241
"268","2702","stan","3","D7",0.0161812297734628,341.980263157895
"269","2703","stan","3","D7",0.0264026402640264,359.386440677966
"173","2101","stan","3","PRE",0.00746268656716418,336.03007518797
"174","2102","stan","3","PRE",0.00655737704918033,332.333333333333
"175","2103","stan","3","PRE",0.0101694915254237,353.691780821918
"176","2104","stan","3","PRE",0.012987012987013,333.835526315789
"177","2105","stan","3","PRE",0.00346020761245675,358.729166666667
"178","2106","stan","3","PRE",0.0045045045045045,347.628959276018
"179","2107","stan","3","PRE",0.0069204152249135,354.480836236934
"180","2108","stan","3","PRE",0.012779552715655,352.058252427184
"181","2109","stan","3","PRE",0.020066889632107,349.79180887372
"182","2110","stan","3","PRE",0.0125,388.170886075949
"199","2201","stan","4","D0",0.00485436893203883,335.917073170732
"200","2202","stan","4","D0",0,350.776119402985
"210","2301","stan","4","D1",0.030188679245283,352.704280155642
"211","2302","stan","4","D1",0.0310077519379845,333.912
"212","2303","stan","4","D1",0.00727272727272727,349.007326007326
"225","2401","stan","4","D2",0.0495049504950495,349.378472222222
"226","2402","stan","4","D2",0.012987012987013,327.769736842105
"227","2403","stan","4","D2",0.0187265917602996,308.713740458015
"228","2404","stan","4","D2",0.00993377483443709,348.802675585284
"241","2501","stan","4","D3",0.00993377483443709,348.528428093645
"242","2502","stan","4","D3",0.0235690235690236,313.848275862069
"243","2503","stan","4","D3",0.0330188679245283,338.356097560976
"244","2504","stan","4","D3",0.0161290322580645,339.547540983607
"257","2601","stan","4","D4",0.0464285714285714,359.865168539326
"258","2602","stan","4","D4",0.0132890365448505,320.956228956229
"259","2603","stan","4","D4",0.0167785234899329,341.959044368601
"260","2604","stan","4","D4",0.0167785234899329,328.064846416382
"270","2701","stan","4","D7",0.0065359477124183,342.197368421053
"271","2702","stan","4","D7",0.0298013245033113,320.730375426621
"272","2703","stan","4","D7",0.00946372239747634,336.423566878981
"183","2101","stan","4","PRE",0.0254545454545455,316.619402985075
"184","2102","stan","4","PRE",0,319.918918918919
"185","2103","stan","4","PRE",0.0198019801980198,340.565656565657
"186","2104","stan","4","PRE",0.00952380952380952,316.551282051282
"187","2105","stan","4","PRE",0.0176678445229682,340.309352517986
"188","2106","stan","4","PRE",0.0180995475113122,344.138248847926
"189","2107","stan","4","PRE",0.01,338.707070707071
"190","2108","stan","4","PRE",0.0169491525423729,334.320689655172
"191","2109","stan","4","PRE",0.0290322580645161,329.830564784053
"192","2110","stan","4","PRE",0.00952380952380952,356.323717948718
